ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,geotypevalue,geoname,county_name,county_fips,region_name,region_code,numerator,denominator,estimate,CA_RR,version
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037231400,2314,Los Angeles,06037,Southern California,14,134,1323,10.1,0.5838150289,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06071003800,38,San Bernardino,06071,Southern California,14,228,2206,10.3,0.5953757225,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037211702,2117.02,Los Angeles,06037,Southern California,14,101,436,23.2,1.341040462,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06073003103,31.03,San Diego,06073,San Diego,09,169,1609,10.5,0.6069364162,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06053014301,143.01,Monterey,06053,Monterey Bay,04,53,226,23.5,1.358381503,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037231500,2315,Los Angeles,06037,Southern California,14,119,1406,8.5,0.4913294798,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037211801,2118.01,Los Angeles,06037,Southern California,14,134,437,30.7,1.774566474,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037554002,5540.02,Los Angeles,06037,Southern California,14,26,292,8.9,0.5144508671,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06071000601,6.01,San Bernardino,06071,Southern California,14,74,291,25.4,1.468208092,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06013371000,3710,Contra Costa,06013,Bay Area,01,159,724,22,1.271676301,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06065031600,316,Riverside,06065,Southern California,14,38,289,13.1,0.7572254335,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037231710,2317.1,Los Angeles,06037,Southern California,14,21,414,5.1,0.2947976879,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06071004000,40,San Bernardino,06071,Southern California,14,36,194,18.6,1.075144509,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06095252705,2527.05,Solano,06095,Bay Area,01,69,686,10.1,0.5838150289,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037554102,5541.02,Los Angeles,06037,Southern California,14,68,576,11.8,0.6820809249,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06013372000,3720,Contra Costa,06013,Bay Area,01,95,735,12.9,0.7456647399,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037540202,5402.02,Los Angeles,06037,Southern California,14,12,475,2.5,0.1445086705,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06073003108,31.08,San Diego,06073,San Diego,09,17,223,7.6,0.4393063584,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06071000700,7,San Bernardino,06071,Southern California,14,0,1998,0,0,Tue Jun 12 12:05:41 2018
